1Mc	12:1	In the eighteenth year of his reign, Ptolemy Philometor granted to Onias, who was the son of Onias the holy Pontiff, permission to build a temple at Heliopolis in Egypt, similar to that of Jerusalem, which was called by him Onion; it stood for 233 years, and was finally destroyed together with the temple of Jerusalem by Titus and Vespasian. So Josephus, Eusebius, and others. At length Philometor, craftily wishing to deprive his son-in-law Alexander of the kingdom of Asia, died suddenly in the year of the Greeks 167. 1 Maccabees 11, vv. 1 and 18.
1Mc	12:2	Ptolemy Physcon, or Euergetes, brother of Philometor, reigned after his brother for 29 years. He was by a strange prodigy at once brother, husband, and son-in-law of Cleopatra; for he took her daughter to wife. Moreover, when Cleopatra was reigning alone while Physcon her husband lived in vice, Physcon arranged for both his own son and hers to be cut into pieces, placed in a chest, and set before her at table on her birthday, as Justin attests in books 38 and 39.
1Mc	12:3	Ptolemy Lathurus, son of Ptolemy Euergetes, surnamed by others Soter, reigned for 16 years.
1Mc	12:4	Ptolemy Alexander, brother of Lathurus, reigned jointly with his mother, who had expelled Lathurus, for 10 years.
1Mc	12:5	Ptolemy Lathurus, restored to the kingdom on account of his mother's cruelty, reigned again for another 8 years.
1Mc	12:6	Ptolemy called Auletes, because he had practiced playing the flute, son of Lathurus, according to Salianus. He begot Cleopatra, who was the last queen of Egypt. He reigned in total together with his daughter Berenice for 30 years.
1Mc	12:7	Ptolemy Dionysius, son of Auletes, since he was a minor, ruled Egypt through his sister Cleopatra for 5 years.
1Mc	12:8	Cleopatra, having overthrown her brother Ptolemy Dionysius, reigned alone for 17 years. She is that celebrated concubine of Mark Antony the triumvir, who was defeated in battle by Augustus Caesar and perished; Cleopatra, lest she should fall into the hands of Augustus, killed herself by the bite of asps. Augustus then subjugated all Egypt to himself and the Romans, and thus began to be monarch in the year of the city 724, which was the third year of Olympiad 187. All these matters are treated by Eusebius, Justin, Saint Epiphanius, Bede, Salianus, Torniellus, and others. These things will shed great light on both books of Maccabees. For the kings Antiochus and Demetrius of Asia long contended with the Ptolemaic kings of Egypt over Judaea, indeed over empire itself; for Judaea lay between them both, and was therefore for both a bone of contention, as each strove to claim it for himself.
1Mc	12:9	A chronological arrangement of the Maccabees, or Asmoneans, who governed the people not only as Pontiffs but also as Princes. 1. Mattathias, rising up against Antiochus Epiphanes in the ninth year of Epiphanes, which was the year of the Greeks 145, held the Pontificate and Principate of Israel for a few months. 1 Maccabees 2, v. 1.
1Mc	12:10	2. Judas Maccabaeus succeeded his father Mattathias at his death, as if the firstborn son, in the Pontificate and Principate; he defended his homeland and the true worship of God most bravely and successfully; he purified the temple, having expelled the idol of Antiochus, in the year of the Greeks 146; at last he was slain fighting most fiercely against Bacchides in the year of the Greeks 152, 1 Maccabees 9, vv. 6 and 18. He ruled and defended Israel for 6 years.
1Mc	12:11	3. Jonathan was appointed by the people to succeed his brother Judas, later approved by Alexander Balas, son of Antiochus Epiphanes, 1 Maccabees 10, vv. 5 and 20. At last he was treacherously killed by Tryphon in the year of the Greeks 170, 1 Maccabees 16, vv. 23 and 24, having ruled for 19 years.
1Mc	12:12	4. Simon was substituted for his brother Jonathan in the Dukedom and Pontificate, 1 Maccabees 13, vv. 8 and 25. He was treacherously killed by his son-in-law Ptolemy in the year of the Greeks 177, 1 Maccabees last chapter, last verse, having governed for 7 years.
1Mc	12:13	5. John Hyrcanus, son of Simon, served as leader and Pontiff for 31 years. He is mentioned in the last chapter of 1 Maccabees, last verse, and with him ends the sacred history of the Maccabees, and indeed all the history of the Old Testament and Holy Scripture.
1Mc	12:14	6. Aristobulus, son of John Hyrcanus. He was the first to assume the title and crown of king, which his descendants thereafter followed his example in assuming. He slew his brother Antigonus, and in that same year, by God's vengeance, died vomiting blood. He reigned for 1 year.
1Mc	12:15	7. Jannaeus, the younger brother of Aristobulus, who, to please the Greeks, assumed a Greek name and was called Alexander. He left two sons, Hyrcanus and Aristobulus, who contended with each other over the kingdom all the way to Herod, and were the ruin of it. He reigned for 27 years.
1Mc	12:16	8. Alexandra, wife of Jannaeus, upon his death usurping the kingdom, reigned for 9 years.
1Mc	12:17	9. Aristobulus the younger, son of Jannaeus, excluding his elder brother Hyrcanus, seized the Pontificate and kingdom; but he was captured by Pompey and sent to Rome with his two sons Antigonus and Alexander, having reigned for 3 years. Then Pompey took Jerusalem and subjected all Judaea to Roman rule and made it tributary, during the consulship of Cicero and Antonius.
