book	chapter	verse	latin_incipit	english_translation
Eccl	1	0	Synopsis Capitis	Lapide summarizes Chapter 1 as demonstrating the theme "Vanitas vanitatum" (vanity of vanities), proved first from the perpetual circulation and succession of natural things (generations, sun, wind, rivers), and second from the vanity of human knowledge and wisdom, which brings more sorrow than satisfaction.
Eccl	1	1	Verba Ecclesiastae filii David regis Jerusalem	Lapide explains why Solomon is called "Ecclesiastes" (Hebrew Coheleth), meaning "congregator" or "concionator" (preacher to the assembly). He discusses the feminine grammatical form of Coheleth, noting it signifies wisdom (sapientia) speaking through Solomon, and explores why Solomon chose this title rather than "king" -- to teach as a philosopher who learned from experience, not to command as a monarch.
Eccl	1	2	Vanitas vanitatum, dixit Ecclesiastes, vanitas vanitatum, et omnia vanitas	Lapide provides an extensive treatment of the Hebrew "hebel" (vapor, breath), explaining it denotes something empty, fleeting, and insubstantial. He enumerates twelve distinct types of vanity found in creatures: vanity of mutability, brevity, futility, uncertainty, imperfection, falsity, sinfulness, punishment, opinion, desire, labor, and universal vanity. He draws from Jerome, Augustine, Gregory, and Bernard to show that all created things are vain when compared to God's eternal being.
Eccl	1	3	Quid habet amplius homo de universo labore suo, quo laborat sub sole	Lapide identifies six senses of "amplius" (what profit): material gain, lasting satisfaction, superiority over beasts, escape from death, accumulation beyond necessity, and ultimate spiritual benefit. He argues Solomon's point is that no temporal labor yields permanent fruit "under the sun," directing the reader to seek profit above the sun, in heavenly things.
Eccl	1	4	Generatio praeterit, et generatio advenit; terra autem in aeternum stat	Lapide discusses the passing of generations while the earth remains, using this to prove the vanity of human life against the stability of inanimate creation. He includes a notable refutation of Copernicus's heliocentric theory, defending the earth's immobility on both scriptural and philosophical grounds, citing patristic authorities and Aristotelian physics.
Eccl	1	5	Oritur sol et occidit, et ad locum suum revertitur	Lapide treats the sun's daily course as a symbol of perpetual natural cycles that demonstrate vanity. He discusses whether the sun moves above or below the earth at night, citing various ancient opinions, and draws the tropological lesson that just as the sun labors ceaselessly yet returns to its starting point, so human toil yields no lasting advancement.
Eccl	1	6	Lustrans universa in circuitu pergit spiritus	Lapide interprets "spiritus" as wind or air, discussing the circular motion of winds and atmospheric phenomena. He explains how the ceaseless revolution of winds illustrates the vanity of natural forces, which perpetually move yet achieve no final rest, mirroring the restless condition of human endeavor.
Eccl	1	7	Omnia flumina intrant in mare, nec mare redundat	Lapide treats the paradox of rivers flowing ceaselessly into the sea yet the sea never overflowing. He provides an extensive natural-philosophical discussion of how springs originate, whether from subterranean channels recycling sea water or from condensation, citing Aristotle, Seneca, and Pliny, while drawing the moral that just as waters cycle endlessly, so human desires are never sated.
Eccl	1	8	Cunctae res difficiles, non potest eas homo explicare sermone	Lapide explains that all things are too laborious and complex for human language to express fully. He focuses on the insatiability of the eye and ear -- the two noblest senses -- arguing that neither sight nor hearing ever reaches complete satisfaction, which proves the vanity of sensory experience and human curiosity.
Eccl	1	9	Quid est quod fuit? Ipsum quod futurum est	Lapide explains Solomon's dictum "nothing new under the sun" as referring to the substantial nature of things (species), not individual novelties. He addresses apparent objections such as new inventions and discoveries, explaining that these are new only in accidental form, not in essence, since all natural species were established at creation.
Eccl	1	10	Nihil sub sole novum	Lapide continues the argument that novelty is illusory. He notes that what seems new has existed before in prior ages, and human forgetfulness creates the illusion of novelty. This reinforces the theme that the cycle of repetition under the sun produces nothing of lasting, substantial originality.
Eccl	1	11	Non est priorum memoria	Lapide treats the vanity of fame and memory, observing that former generations are forgotten and future ones will likewise be forgotten. He argues this oblivion is itself a great vanity: even the accomplishments of the wise and mighty perish from human recollection, proving that earthly glory is ephemeral.
Eccl	1	12	Ego Ecclesiastes fui rex Israel in Jerusalem	Lapide explains Solomon's autobiographical turn: having been king with supreme wisdom and resources, he set out to investigate all things under the sun. The past tense "fui" (I was) is debated -- Jerome takes it as Solomon speaking after his fall and repentance, while others see it as a literary device. Solomon's royal position uniquely qualified him to test whether power and wisdom could yield lasting happiness.
Eccl	1	13	Et proposui in animo meo quaerere et investigare sapienter de omnibus	Lapide discusses Solomon's methodical investigation of all things done under heaven, calling it a "sore travail" (occupationem pessimam) given by God to humble human pride. God imposed this restless drive to investigate as a discipline, so that humans would recognize the limits of their knowledge and turn to God as the source of true wisdom.
Eccl	1	14	Vidi cuncta quae fiunt sub sole, et ecce universa vanitas et afflictio spiritus	Lapide explains Solomon's verdict that all things under the sun are vanity and "affliction of spirit" (or "chasing after wind," from Hebrew ruach). He discusses the dual meaning of the phrase -- both a vexation of the human spirit and a futile pursuit of wind -- and shows that this comprehensive judgment follows from Solomon's exhaustive empirical investigation.
Eccl	1	15	Perversi difficile corriguntur, et stultorum infinitus est numerus	Lapide provides extensive commentary on the perversity and obstinacy of sinners, explaining how deeply ingrained vice becomes through habit. He discusses the power of consuetude (custom) to deform the soul, citing Jerome, Chrysostom, and Gregory, and argues that the infinite number of fools demonstrates the universal prevalence of vanity and the difficulty of moral reform.
Eccl	1	16	Locutus sum in corde meo, dicens: Ecce magnus effectus sum	Lapide treats Solomon's reflection on his own surpassing wisdom, noting he exceeded all who were before him in Jerusalem. Solomon's unique endowment of divine wisdom (1 Kings 3) gave him an unparalleled vantage point from which to judge that even supreme human wisdom cannot overcome the vanity inherent in earthly things.
Eccl	1	17	Dedique cor meum ut scirem prudentiam atque doctrinam, erroresque et stultitiam	Lapide explains Solomon's deliberate study of both wisdom and folly, knowledge and error. By investigating the full spectrum of human intellectual experience, Solomon discovered that even the pursuit of knowledge itself is vexation, since greater understanding reveals greater depths of disorder and irrationality in the world.
Eccl	1	18	Eo quod in multa sapientia multa sit indignatio	Lapide explains this paradox: the more one knows, the more one grieves, because wisdom reveals the full extent of evil, disorder, and vanity in the world. He cites Jerome and other Fathers to show that knowledge without the consolation of faith leads to sorrow, and that the wise man suffers more acutely than the fool because he perceives evils the fool cannot see. This is the final proof that even wisdom, the noblest human good, is subject to vanity.
Eccl	2	1	Dixi in corde meo: Vadam et affluam deliciis	Lapide explains that Solomon, having found wisdom insufficient for happiness, now undertakes a deliberate experiment with pleasure and luxury. He enumerates five reasons why pleasures are vain: they are brief, mixed with bitterness, insatiable, followed by remorse, and divert the soul from true goods. Solomon speaks not as an Epicurean but as a wise investigator testing whether sensual delight can provide what wisdom could not.
Eccl	2	2	Risum reputavi errorem, et gaudio dixi: Quid frustra deciperis?	Lapide treats Solomon's judgment that laughter is madness and joy is deceptive. He provides six different Hebrew interpretations of "mehollal" (madness/error), and draws extensively from Jerome, Basil, Chrysostom, Clement of Alexandria, and Aristotle on the folly of immoderate laughter, distinguishing between the laughter of fools (dissolute mirth) and the modest joy of the wise.
Eccl	2	3	Cogitavi in corde meo abstrahere a vino carnem meam	Lapide discusses Solomon's resolve to test whether abstaining from wine while pursuing wisdom, yet simultaneously experimenting with pleasure, could yield happiness. He identifies four interpretive approaches to this controlled mixture of wisdom and sensual indulgence, noting that Solomon maintained wisdom as his guide even while testing folly, so he could render an authoritative verdict on pleasure's vanity.
Eccl	2	4	Magnificavi opera mea, aedificavi mihi domos, et plantavi vineas	Lapide describes Solomon's magnificent building projects -- the Temple, his royal palace (which took thirteen years), the house of the forest of Lebanon, and extensive vineyards. He draws the tropological lesson that even the grandest architectural achievements and most fruitful plantings are subject to decay and destruction, and cannot provide lasting satisfaction.
Eccl	2	5	Feci hortos et pomaria, et consevi ea cuncti generis arboribus	Lapide describes Solomon's paradise gardens and orchards, noting he planted every species of aromatic tree, including balsam plants reputedly brought by the Queen of Sheba. He connects these gardens to the imagery of Canticles and draws from Josephus's descriptions of Solomon's horticultural splendor, while underscoring that even such paradisiacal beauty is transient.
