book	chapter	verse	latin_incipit	english_translation
Jl	1	0	Synopsis Capitis	Chapter 1 describes an unprecedented locust plague as a figure of divine judgment and a summons to national mourning. À Lapide carefully identifies the four species of locusts (locusta, bruchus, rubigo, eruca) from Joel 1:4, following Jerome's Hebrew study. The desolation of the vine and the fig-tree anticipates the destruction of the Temple and ultimately the Last Day.
Jl	1	4	Residuum erucae comedit locusta	The fourfold locust plague—what the palmerworm left, the locust ate; what the locust left, the cankerworm ate—is read by à Lapide as stages of divine chastisement escalating in severity. Jerome identified these with four invading kingdoms (Assyria, Babylon, Macedon, Rome). À Lapide adds a fifth interpretation: the four passions of the soul (fear, sorrow, desire, pleasure) that devour the interior life.
Jl	1	8	Plange quasi virgo accincta sacco	'Lament like a virgin girded with sackcloth for the husband of her youth.' À Lapide reads this as the lament of the Church over the loss of souls, and more specifically as a type of the Virgin Mary's sorrows. The image of a young widow becomes a figure of the synagogue that rejected its divine Bridegroom. The liturgical context (priests, altars, offerings) grounds the mourning in sacramental theology.
Jl	1	13	Accingimini et plangite sacerdotes	'Gird yourselves and lament, O priests.' À Lapide expands this into a treatise on the special obligation of the clergy to lead penitential prayer. When the nation sins the priests must intercede; their negligence multiplies the disaster. He cites Innocent III's De Contemptu Mundi and Chrysostom's De Sacerdotio on the weight of priestly responsibility.
Jl	1	15	A dies illa dies Domini	'Ah for the day! For the day of the Lord is at hand.' À Lapide treats this as the first use of 'dies Domini' in the prophetic corpus, a phrase that will culminate in the Apocalypse. The immediate reference is the locust plague; the anagogical sense is the Last Judgment. He quotes the Septuagint and Vulgate in parallel and notes how Paul in 1 Thessalonians 5:2 takes up the motif.
Jl	2	1	Canite tuba in Sion	'Blow the trumpet in Sion, sound an alarm in my holy mountain.' À Lapide identifies the trumpet (tuba) as the prophetic voice itself—particularly the preaching of penance. He connects it to the jubilee trumpet of Leviticus 25 and the angelic trumpets of the Apocalypse. The holy mountain Sion is both the historical Jerusalem and the Church Militant.
Jl	2	12	Convertimini ad me in toto corde vestro	'Turn ye to me with all your heart, in fasting and in weeping and in mourning.' À Lapide draws out the theology of perfect contrition: the external acts (fasting, weeping) are necessary but must proceed from interior conversion of heart. He cites Trent Session XIV on the necessity of interior penance. The rending of hearts not garments distinguishes Catholic sacramental penance from mere external rite.
Jl	2	17	Parce Domine populo tuo	'Spare, O Lord, thy people.' À Lapide identifies this as the oldest intercessory formula in the Roman liturgy, used in the Rogations and the Good Friday rite. The priests weep between the porch and the altar, prefiguring Christ's intercession in the heavenly sanctuary (Hebrews 9). The petition 'let not the nations say: Where is their God?' is a plea for the Church's public witness.
Jl	2	28	Effundam spiritum meum super omnem carnem	'I will pour out my spirit upon all flesh.' À Lapide calls this the Magna Charta of the New Testament's universal mission. He notes Peter's explicit citation at Pentecost (Acts 2:17) and argues that 'all flesh' includes Gentiles—a universalism denied by Jewish interpreters. The sons and daughters prophesying, the old men dreaming, the young men seeing visions, figure the various gifts of the Holy Spirit distributed in Confirmation and ordination.
Jl	2	30	Et dabo prodigia in caelo et in terra	'And I will show wonders in heaven and in earth.' À Lapide reads the cosmic signs—blood, fire, vapour of smoke, darkened sun, blood-red moon—as both literal predictions of the destruction of Jerusalem (fulfilled in 70 AD according to Josephus) and as types of the signs preceding the Last Judgment described in the Synoptic Apocalypse (Matt. 24). The double fulfilment is characteristic of prophetic compression.
Jl	3	2	Congregabo omnes gentes	'I will gather together all nations and will bring them down into the valley of Josaphat.' À Lapide follows Jerome in reading the Valley of Josaphat as a figure of the vale of judgment—josaphat meaning 'God judges.' He surveys the Fathers' dispute whether this judgment is general or particular, concluding with Thomas Aquinas that it refers to the universal Last Judgment. The nations are arraigned for their treatment of God's people.
Jl	3	10	Confringite vomeres vestros in lanceas	'Beat your ploughshares into swords and your pruning-hooks into spears.' À Lapide notes this is the precise inversion of Isaiah 2:4 and Micah 4:3, where swords become ploughshares—the peace of the messianic age. Here the wicked are summoned to marshal their forces against God's judgment, only to be utterly defeated. The irony discloses divine providence overruling human aggression.
Jl	3	16	Dominus de Sion rugiet	'The Lord shall roar out of Sion and utter his voice from Jerusalem.' À Lapide connects this to Amos 1:2 (identical wording) and to the Christ who drove the money-changers from the Temple with a shout. The shaking of heaven and earth is the cosmic trembling before divine majesty; the stillness that follows images the peace of the elect who shelter in God after judgment.
Jl	3	18	Et erit in die illa stillabunt montes dulcedinem	'And it shall come to pass in that day, that the mountains shall drop down sweetness and the hills shall flow with milk.' À Lapide reads this eschatological abundance as a figure of the spiritual goods of the New Law: the mountains of apostolic preaching drip with the sweet doctrine of the Gospel; the milk of the hills figures the simplicity of faith offered to all. A fountain proceeding from the house of God is identified with the sacraments, especially Baptism and the Eucharist.
