book	chapter	verse	latin_incipit	english_translation
1Kings	1	1		David in old age could not grow warm: Lapide notes natural and medical causes (bodily heat failing), but notes the deeper theological significance — Abisag the Sunamite (whose name means "father of error overcome") typifies the Church, or divine Wisdom, brought to minister to the aged king. Lapide also sees in her virginity preserved with David a foreshadowing of the Blessed Virgin.
1Kings	1	5		Adonias exalts himself: Lapide notes Adonias' conspiracy against Solomon as a type of those who seize the Church's goods through schism and ambition, like Absalom before him. Joab's support of Adonias is political cunning without true faith — the prototypical political man who uses religion to serve power.
1Kings	1	39		Solomon anointed by Sadoc and Nathan: Lapide notes that Solomon was anointed with oil from the tabernacle, fitting for the type of Christ the true Anointed One. Sadoc (= "just") and Nathan (= "gift") together represent the priestly and prophetic offices united in the anointing of Christ.
1Kings	2	3		David's charge to Solomon — observe the custodies of the Lord thy God: Lapide: "Custodies" means the precepts which God commands to be kept. He who acts prudently, acts prosperously: prudence is the mother of prosperity and of happiness, just as imprudence is the mother of misfortune.
1Kings	2	6		David commands Solomon to punish Joab: Joab treacherously shed the blood of two just men, Abner and Amasa, in time of peace, staining his garment with their blood. The law of retaliation, established by the law of nature and divine law, requires that he who kills another be put to death.
1Kings	2	36		David's epitaph (Josephus): "David was a man most excellent and endowed with all virtues befitting a king set over so many peoples: for he was brave beyond all others, and in battles undertaken for the safety of his subjects he was the first to expose himself to dangers, encouraging his soldiers by his example to great deeds. He was also most prudent in counsel, and excellently skilled in knowing what was to be done for the present and the future."
1Kings	3	1		Solomon's marriage to Pharaoh's daughter: Lapide notes this was lawful if she converted to the faith, as did Ruth, Rahab, and others. He notes the Canticle of Canticles alludes to this marriage: "I have compared thee to my company of horsemen in Pharaoh's chariots" — but its mystical sense is the union of Christ with the Church.
1Kings	3	2		The high places: Lapide gives a learned discussion of "excelsa" — groves and high places used for sacrifice. Those used for false gods were manifestly illicit. Those used for the true God were tolerated before the Temple was built, but after its completion, kings who permitted them fell short of full obedience to God.
1Kings	3	4		Solomon goes to Gabaon to sacrifice: Lapide: "Note the piety of Solomon, who begins his reign with the worship and invocation of God; he offered a thousand holocausts, and therefore obtained from God a wisdom so great that God granted the like to no one else."
1Kings	3	5		God appears to Solomon in a dream — "Ask what thou wilt that I should give thee": Lapide gives an extended discussion of whether Solomon had full use of reason in this dream. He concludes, following Suarez and many Fathers, that this was a prophetic vision, not a mere natural dream — God raised Solomon's intellect and phantasy to full rational use even in sleep, as with other prophets.
1Kings	3	7		Solomon: "I am but a child, and know not how to go out and come in": Lapide: "I am very young, rude, and inexperienced, therefore like a child for the burden of governing so great a people." Solomon was about twenty years old. The Hebrew phrase means "I do not know how to conduct myself in the administration of so great a kingdom."
1Kings	3	9		"Give therefore to thy servant an understanding heart": Lapide: By wisdom Solomon properly sought prudence — the practical and ethical wisdom by which he might govern himself and the people. He sought, as Wisdom ix says, "the assistant of Thy throne, that she may be with me and labour with me." Wisdom in the Sapiential books chiefly signifies practical wisdom teaching us to live justly and holily.
1Kings	3	12		"I have given thee a wise and understanding heart, so that there hath been no one like thee before thee": Lapide explains the multiple kinds of wisdom given: first, ethical and political; second, natural philosophy, medicine, logic, rhetoric, mathematics, architecture; third, supernatural theological wisdom and the gift of prophecy. All this wisdom was infused directly by God on that night.
1Kings	3	13		"And the things also which thou didst not ask, I have given thee: riches and glory": Lapide: "Learn here how great a good and gift of God is wisdom, how much it is to be preferred above all other things, and that it draws all things else along with it. For wisdom is to be obtained by prayer more than by study. The author and giver of wisdom is God, who is the Father of lights."
1Kings	3	15		"Solomon awoke and understood it was a dream": Lapide: not a common natural dream, but a divine prophetic vision — for God truly infused wisdom into him at that moment, and the Scriptures recount all that followed as truly done, not merely dreamed. The parallel in 2 Chronicles says simply "God appeared to him."
1Kings	3	26		The judgment of Solomon: The true mother's compassion — "her bowels were moved" — reveals the true mother. Lapide applies this morally and mystically. The Church like the true mother would rather give up the child than see it destroyed by division.
1Kings	4	20		"Juda and Israel innumerable as the sand of the sea": Lapide: "At the time of Solomon the tribe of Juda and the eleven tribes of Israel increased to an innumerable multitude, and there was then the greatest abundance of all things." Allegorically, the felicity of Solomon's kingdom represents the supreme happiness of Christ's kingdom in the Church by grace, and in heaven by glory.
